"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2021","116.71","118.25","118.25","115.26","2.03M","5.26%"
"Feb 04, 2021","110.88","111.05","111.05","109.03","1.38M","-0.39%"
"Feb 03, 2021","111.31","108.20","112.29","107.34","3.03M","12.16%"
"Feb 02, 2021","99.24","99.35","99.82","99.17","1.27M","0.72%"
"Feb 01, 2021","98.53","97.41","98.59","96.96","1.50M","2.95%"
"Jan 29, 2021","95.71","97.00","97.09","95.09","859.26K","-1.99%"
"Jan 28, 2021","97.65","96.25","98.39","96.25","1.44M","0.67%"
"Jan 27, 2021","97.00","97.82","98.85","96.90","1.12M","-2.72%"
"Jan 26, 2021","99.71","99.67","100.16","99.40","774.99K","0.43%"
"Jan 25, 2021","99.28","99.50","99.94","97.82","1.46M","-1.81%"
"Jan 22, 2021","101.11","101.62","101.93","101.03","759.94K","-1.40%"
"Jan 21, 2021","102.55","102.91","103.20","101.90","652.21K","-0.33%"
"Jan 20, 2021","102.89","102.43","103.60","102.43","873.98K","0.65%"
"Jan 19, 2021","102.23","102.13","102.43","101.75","701.12K","0.18%"
"Jan 15, 2021","102.05","101.79","102.70","101.53","1.03M","-1.32%"
"Jan 14, 2021","103.42","103.85","103.94","103.24","831.13K","-0.45%"
"Jan 13, 2021","103.89","103.45","104.32","103.41","794.37K","-0.13%"
"Jan 12, 2021","104.03","104.24","104.42","103.30","1.19M","0.18%"
"Jan 11, 2021","103.84","104.41","104.87","103.40","1.04M","-0.14%"
"Jan 08, 2021","103.99","103.29","104.00","102.94","1.40M","1.95%"
"Jan 07, 2021","102.00","101.15","102.09","100.91","760.75K","0.91%"
"Jan 06, 2021","101.08","100.73","101.93","100.58","981.49K","-1.97%"
"Jan 05, 2021","103.11","102.01","103.50","102.01","1.12M","3.04%"
"Jan 04, 2021","100.07","101.60","101.60","99.46","1.06M","-1.02%"
"Dec 31, 2020","101.10","100.93","101.40","100.61","670.75K","0.32%"
"Dec 30, 2020","100.78","100.15","100.93","99.94","616.24K","0.35%"
"Dec 29, 2020","100.43","99.94","100.82","99.35","988.76K","2.53%"
"Dec 28, 2020","97.95","98.02","98.29","97.86","963.59K","1.15%"
"Dec 24, 2020","96.84","97.46","97.56","96.54","301.82K","-0.64%"
"Dec 23, 2020","97.46","97.98","97.98","97.25","669.62K","0.00%"
"Dec 22, 2020","97.46","98.10","98.31","97.29","743.30K","-1.95%"
"Dec 21, 2020","99.40","98.78","99.50","97.81","938.98K","0.70%"
"Dec 18, 2020","98.71","99.10","99.35","98.14","1.29M","1.74%"
"Dec 17, 2020","97.02","97.12","97.76","96.77","1.20M","2.01%"
"Dec 16, 2020","95.11","94.25","95.35","94.05","856.76K","1.02%"
"Dec 15, 2020","94.15","93.96","94.63","93.55","825.18K","0.84%"
"Dec 14, 2020","93.37","94.83","95.00","93.35","855.65K","-1.38%"
"Dec 11, 2020","94.68","94.31","94.98","94.16","907.61K","0.63%"
"Dec 10, 2020","94.09","93.37","94.18","93.37","725.39K","-0.04%"
"Dec 09, 2020","94.13","94.53","94.63","93.31","1.99M","0.81%"
"Dec 08, 2020","93.37","93.29","93.74","93.17","717.86K","0.01%"
"Dec 07, 2020","93.36","93.10","93.62","92.94","901.44K","-1.10%"
"Dec 04, 2020","94.40","93.90","94.41","93.80","570.43K","0.61%"
"Dec 03, 2020","93.83","93.82","94.29","93.69","754.60K","1.31%"
"Dec 02, 2020","92.62","92.31","93.35","92.27","1.19M","-2.18%"
"Dec 01, 2020","94.68","94.14","94.82","93.96","923.28K","1.49%"
"Nov 30, 2020","93.29","93.78","94.00","92.68","969.80K","-0.83%"
"Nov 27, 2020","94.07","93.98","94.50","93.82","666.88K","0.90%"
"Nov 25, 2020","93.23","93.40","93.50","91.91","1.65M","2.68%"
"Nov 24, 2020","90.80","91.50","91.54","90.03","1.21M","1.12%"
"Nov 23, 2020","89.79","90.32","90.79","89.51","742.77K","-0.21%"
"Nov 20, 2020","89.98","88.91","90.27","88.86","624.03K","1.27%"
"Nov 19, 2020","88.85","88.25","88.96","88.25","899.94K","0.68%"
"Nov 18, 2020","88.25","88.78","89.69","88.25","746.54K","-1.63%"
"Nov 17, 2020","89.71","90.09","90.60","89.55","1.75M","-0.82%"
"Nov 16, 2020","90.45","90.93","91.06","90.06","1.15M","0.81%"
"Nov 14, 2020","89.72","89.72","89.72","89.72","-","0.00%"
"Nov 13, 2020","89.72","89.11","90.00","88.64","1.10M","3.00%"
"Nov 12, 2020","87.11","87.48","88.08","86.90","1.22M","-1.11%"
"Nov 11, 2020","88.09","86.56","88.59","86.42","1.35M","2.54%"
"Nov 10, 2020","85.91","85.75","86.43","85.34","1.30M","-0.81%"
"Nov 09, 2020","86.61","89.75","89.77","86.61","1.88M","-3.11%"
"Nov 06, 2020","89.39","89.10","90.17","88.66","1.39M","-1.11%"
"Nov 05, 2020","90.39","88.85","90.85","88.72","1.82M","4.61%"
"Nov 04, 2020","86.41","85.56","87.24","85.20","1.04M","0.00%"
"Nov 03, 2020","86.41","86.58","87.24","86.09","1.06M","1.06%"
"Nov 02, 2020","85.50","84.25","85.91","84.25","2.08M","2.20%"
"Oct 30, 2020","83.66","83.25","84.05","82.58","1.48M","0.28%"
